"OldName","NewName","Size","Path"
"IMG-20250906-WA0160.jpg","","41390","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0160.jpg"
"IMG-20250906-WA0161.jpg","","129230","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0161.jpg"
"IMG-20250906-WA0162.jpg","","144505","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0162.jpg"
"IMG-20250906-WA0163.jpg","","137931","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0163.jpg"
"IMG-20250906-WA0164.jpg","","56649","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0164.jpg"
"IMG-20250906-WA0165.jpg","","49795","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0165.jpg"
"IMG-20250906-WA0166.jpg","","137554","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0166.jpg"
"IMG-20250906-WA0167.jpg","","126877","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0167.jpg"
"IMG-20250906-WA0168.jpg","","108183","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0168.jpg"
"IMG-20250906-WA0169.jpg","","157713","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0169.jpg"
"IMG-20250906-WA0170.jpg","","132718","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0170.jpg"
"IMG-20250906-WA0171.jpg","","168937","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0171.jpg"
"IMG-20250906-WA0172.jpg","","111443","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0172.jpg"
"IMG-20250906-WA0173.jpg","","146337","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0173.jpg"
"IMG-20250906-WA0174.jpg","","111447","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0174.jpg"
"IMG-20250906-WA0175.jpg","","43865","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0175.jpg"
"IMG-20250906-WA0176.jpg","","43793","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0176.jpg"
"IMG-20250906-WA0177.jpg","","48977","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0177.jpg"
"IMG-20250906-WA0178.jpg","","65198","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0178.jpg"
"IMG-20250906-WA0179.jpg","","66450","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0179.jpg"
"IMG-20250906-WA0180.jpg","","155178","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0180.jpg"
"IMG-20250906-WA0181.jpg","","171334","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0181.jpg"
"IMG-20250906-WA0182.jpg","","177952","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0182.jpg"
"IMG-20250906-WA0183.jpg","","129480","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0183.jpg"
"IMG-20250906-WA0184.jpg","","132811","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0184.jpg"
"IMG-20250906-WA0185.jpg","","150326","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0185.jpg"
"IMG-20250906-WA0186.jpg","","124239","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0186.jpg"
"IMG-20250906-WA0187.jpg","","143529","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0187.jpg"
